policy,category,base_line,scenario_1_metric,scenario_2_metric,scenario_3_metric,scenario_4_metric,scenario_1_%change,scenario_2_%change,scenario_3_%change,scenario_4_%change,scenario_1_elasticity,scenario_2_elasticity,scenario_3_elasticity,scenario_4_elasticity,mean_elasticity
transit_frequency,high,18.24739591669643,17.93053296725192,18.08749040017069,18.413277778928332,18.6963518668505,2.0,1.0,-0.25,-0.5,-0.0086824155866147,-0.008763196527096007,-0.03636285703213549,-0.04920767348981281,-0.02575403565891475
transit_frequency,low,13.02539699381641,12.767717958765873,12.897656369451864,13.219714233281092,13.424365246756778,2.0,1.0,-0.25,-0.5,-0.009891408114964362,-0.009807042689385037,-0.05967334110643385,-0.061260052669377174,-0.035157961145040106
transit_frequency,middle,18.190937737934384,17.884011015821038,18.013797095658088,18.37163577486259,18.63426395938453,2.0,1.0,-0.25,-0.5,-0.008436253439351227,-0.009737851056842217,-0.03973363870107427,-0.048741436844748964,-0.02666229501050417
transit_price,high,18.24739591669643,18.26001797381647,18.262466604884494,18.216224471571778,18.321219026946924,0.5,-0.25,-0.5,-1.0,0.0013834365383051939,-0.0033036359285159023,0.0034165362846245717,-0.004045679207461461,-0.0006373355782618995
transit_price,low,13.02539699381641,13.10257001912642,13.047637671299519,12.985721674029092,13.100259349588017,0.5,-0.25,-0.5,-1.0,0.011849623523436215,-0.006829942302308822,0.0060919939417052316,-0.005747414516973803,0.0013410651614647051
transit_price,middle,18.190937737934384,18.22002750152378,18.196818776272806,18.14046671546301,18.275996788563166,0.5,-0.25,-0.5,-1.0,0.003198269820773092,-0.001293179807032807,0.00554902921426903,-0.004675902466061643,0.0006945541904869179
transit_speed,high,18.24739591669643,18.59020115061357,18.882746514724985,,,-0.1,-0.25,,,-0.18786529074182656,-0.13927479864613623,,,-0.1635700446939814
transit_speed,low,13.02539699381641,13.264231324032686,13.55150447125568,,,-0.1,-0.25,,,-0.1833604997449667,-0.16156359078776017,,,-0.17246204526636344
transit_speed,middle,18.190937737934384,18.48454932852009,18.886475013857183,,,-0.1,-0.25,,,-0.16140541780505613,-0.15294148898599413,,,-0.15717345339552513
tnc_price,high,18.24739591669643,18.1163812483865,18.212154725277205,18.215466284874097,18.437007697984455,0.5,0.25,-0.25,-0.5,-0.014359820865184503,-0.0077251990541791216,0.006999274190815807,-0.02078233871327706,-0.00896702111045622
tnc_price,low,13.02539699381641,12.978069956062814,13.000312947811251,12.99876140581883,13.233543363167522,0.5,0.25,-0.25,-0.5,-0.007266886034423825,-0.00770311907332033,0.00817958577699418,-0.03196008067161804,-0.009687625000592004
tnc_price,middle,18.190937737934384,18.091204832044482,18.159562117137373,18.145161156606353,18.412131360413664,0.5,0.25,-0.25,-0.5,-0.010965119811489732,-0.006899176117035832,0.010065799133064157,-0.02431910060557385,-0.008029399350258815
share_tnc_price,high,18.24739591669643,18.466165752593277,18.027055892287954,18.27288396683059,18.07542182875812,0.5,0.25,-0.25,-0.5,0.023978197973626436,-0.048300595967639026,-0.005587219184703507,0.01884916496835065,-0.0027651130525913614
share_tnc_price,low,13.02539699381641,13.273933908413193,12.961569506465265,13.034487737848208,12.927253155708867,0.5,0.25,-0.25,-0.5,0.038161894752962056,-0.019600934199992537,-0.0027916981067415136,0.015069611798263827,0.007709718561122958
share_tnc_price,middle,18.190937737934384,18.40030103538647,18.09510113554104,18.228404361835757,18.075028903924377,0.5,0.25,-0.25,-0.5,0.023018417243602762,-0.02107348258215236,-0.008238525015286768,0.012743579872553479,0.0016124973796792785
operating_cost,high,18.24739591669643,15.386882242406099,16.789929039515606,18.929724901444786,19.999722277043603,1.0,0.5,-0.25,-0.5,-0.15676284371475446,-0.15974519146014,-0.14957290078285013,-0.1920631709145728,-0.16453602671807935
operating_cost,low,13.02539699381641,10.593313119008972,11.674752685848569,13.791536769930968,14.880142390861522,1.0,0.5,-0.25,-0.5,-0.18671859874689645,-0.20738627906835183,-0.23527567765597368,-0.28478907751151405,-0.228542408245684
operating_cost,middle,18.190937737934384,15.378000065542517,16.646855846354352,18.95105816524226,20.082745125753565,1.0,0.5,-0.25,-0.5,-0.15463401133664045,-0.16976385866684462,-0.1671426593303682,-0.20799448770297424,-0.17488375425920688
cordon_pricing,high,18.24739591669643,18.366369595969193,18.28328027235314,18.316749407085595,18.21874240175967,0.25,0.1,-0.25,-0.5,0.02608014421694005,0.01966546668934477,-0.015202934315840189,0.0031405593507776164,0.008420808985305561
cordon_pricing,low,13.02539699381641,13.118623836302541,13.08014194918085,13.044469186469032,12.989474015445449,0.25,0.1,-0.25,-0.5,0.028629251770334818,0.04202939487405244,-0.005856924794438889,0.0055158362371625635,0.017579389521777733
cordon_pricing,middle,18.190937737934384,18.28597205859507,18.220875213911246,18.255073570077574,18.13286636043562,0.25,0.1,-0.25,-0.5,0.020897069085671127,0.01645735717869634,-0.01410280944658382,0.006384649140727339,0.007409066489627747
park_ride,high,18.24739591669643,18.36096779676809,18.184930634752625,18.217495354859693,18.279714162456706,0.5,0.25,-0.25,-0.5,0.012448009632732404,-0.013692974543649594,0.006554483055717153,-0.0035422310019268544,0.0004418217857182771
park_ride,low,13.02539699381641,13.076828954083437,13.022924555231299,12.967622216105651,13.090800700514903,0.5,0.25,-0.25,-0.5,0.007897181220878569,-0.0007592670185130324,0.017742193266949258,-0.010042489565507129,0.0037094044759519162
park_ride,middle,18.190937737934384,18.259726949256475,18.184462750085988,18.14663576627424,18.24333881239643,0.5,0.25,-0.25,-0.5,0.007563019819329053,-0.0014237831917576216,0.009741547642760473,-0.005761228499262305,0.0025298889427674
telecommute_option,high,18.24739591669643,17.57173292375305,17.877418236484868,18.633532426998137,19.063772662068118,0.5,0.25,-0.25,-0.5,-0.07405582648920839,-0.08110257088750528,-0.08464473770712466,-0.08947871237064575,-0.08232046186362102
telecommute_option,low,13.02539699381641,12.876350976326378,12.970679079047454,13.197216649526101,13.309155861244854,0.5,0.25,-0.25,-0.5,-0.022885447186107077,-0.016803453989135964,-0.05276450484887629,-0.04357009119386612,-0.034005874304496364
telecommute_option,middle,18.190937737934384,17.79223014157763,18.014378650270775,18.46714090452811,18.716097952825773,0.5,0.25,-0.25,-0.5,-0.043835848607772565,-0.038823526352997906,-0.060734233841666985,-0.057738663334133467,-0.05028306803414273
telecommute_frequency,high,18.24739591669643,18.721960237081284,18.467481886609434,17.968555321431506,17.473069333726436,-1.0,-0.5,2.0,3.0,-0.026007235363958214,-0.02412245242200539,-0.007640558590877755,-0.014144969625711212,-0.017978804000638143
telecommute_frequency,low,13.02539699381641,13.151237139071787,13.08968172668211,13.000355316614275,12.807990427006395,-1.0,-0.5,2.0,3.0,-0.009661137032147105,-0.009870675403785167,-0.0009612634921615792,-0.005563658108673504,-0.006514183509191839
